teryt_pow,kat_wiek,total,males,females
0261,0 - 4,2885.0,1483,1402
0261,5 - 9,3224.0,1646,1578
0261,10 - 14,3422.0,1758,1664
0261,15 - 19,3028.0,1529,1499
0261,20 - 24,3162.0,1554,1608
0261,25 - 29,3947.0,1999,1948
0261,30 - 34,4888.0,2427,2461
0261,35 - 39,6357.0,3245,3112
0261,40 - 44,6416.0,3206,3210
0261,45 - 49,5465.0,2680,2785
0261,50 - 54,4452.0,2183,2269
0261,55 - 59,4657.0,2143,2514
0261,60 - 64,6372.0,2800,3572
0261,65 - 69,7031.0,2978,4053
0261,70 - 74,5379.0,2115,3264
0261,75 - 79,2637.0,1021,1616
0261,80 - 84,2183.0,679,1504
0261,85 i więcej,2302.0,650,1652
0262,0 - 4,4491.0,2312,2179
0262,5 - 9,4515.0,2327,2188
0262,10 - 14,4838.0,2507,2331
0262,15 - 19,4086.0,2124,1962
0262,20 - 24,4559.0,2380,2179
0262,25 - 29,5611.0,2907,2704
0262,30 - 34,6892.0,3438,3454
0262,35 - 39,8298.0,4218,4080
0262,40 - 44,7954.0,3926,4028
0262,45 - 49,7024.0,3459,3565
0262,50 - 54,5743.0,2768,2975
0262,55 - 59,5823.0,2727,3096
0262,60 - 64,7349.0,3244,4105
0262,65 - 69,7712.0,3241,4471
0262,70 - 74,6050.0,2456,3594
0262,75 - 79,2661.0,994,1667
0262,80 - 84,2276.0,724,1552
0262,85 i więcej,2076.0,526,1550
0264,0 - 4,36269.0,18506,17763
0264,5 - 9,31460.0,16353,15107
0264,10 - 14,29642.0,15106,14536
0264,15 - 19,22466.0,11304,11162
0264,20 - 24,23109.0,11683,11426
0264,25 - 29,31496.0,15318,16178
0264,30 - 34,55764.0,26368,29396
0264,35 - 39,68333.0,33626,34707
0264,40 - 44,56458.0,28052,28406
0264,45 - 49,44665.0,21934,22731
0264,50 - 54,32478.0,15842,16636
0264,55 - 59,31721.0,14862,16859
0264,60 - 64,40396.0,18070,22326
0264,65 - 69,45288.0,19152,26136
0264,70 - 74,37465.0,15131,22334
0264,75 - 79,18866.0,7114,11752
0264,80 - 84,16363.0,5466,10897
0264,85 i więcej,18962.0,5466,13496
0265,0 - 4,3922.0,2021,1901
0265,5 - 9,4308.0,2207,2101
0265,10 - 14,4992.0,2538,2454
0265,15 - 19,4528.0,2338,2190
0265,20 - 24,4809.0,2415,2394
0265,25 - 29,5958.0,3032,2926
0265,30 - 34,7064.0,3673,3391
0265,35 - 39,9062.0,4567,4495
0265,40 - 44,8913.0,4619,4294
0265,45 - 49,7288.0,3631,3657
0265,50 - 54,6115.0,2997,3118
0265,55 - 59,6925.0,3234,3691
0265,60 - 64,9699.0,4441,5258
0265,65 - 69,9318.0,3972,5346
0265,70 - 74,6758.0,2724,4034
0265,75 - 79,3263.0,1163,2100
0265,80 - 84,3150.0,995,2155
0265,85 i więcej,2872.0,737,2135
0201,0 - 4,4097.0,2161,1936
0201,5 - 9,4275.0,2138,2137
0201,10 - 14,4872.0,2507,2365
0201,15 - 19,4181.0,2149,2032
0201,20 - 24,4659.0,2446,2213
0201,25 - 29,5629.0,2805,2824
0201,30 - 34,6679.0,3417,3262
0201,35 - 39,7308.0,3784,3524
0201,40 - 44,7268.0,3672,3596
0201,45 - 49,6613.0,3335,3278
0201,50 - 54,5236.0,2637,2599
0201,55 - 59,5495.0,2701,2794
0201,60 - 64,6636.0,3154,3482
0201,65 - 69,6163.0,2782,3381
0201,70 - 74,4635.0,1955,2680
0201,75 - 79,2194.0,805,1389
0201,80 - 84,1883.0,599,1284
0201,85 i więcej,1751.0,465,1286
0202,0 - 4,3832.0,1921,1911
0202,5 - 9,4271.0,2199,2072
0202,10 - 14,4783.0,2396,2387
0202,15 - 19,4199.0,2152,2047
0202,20 - 24,4645.0,2362,2283
0202,25 - 29,5737.0,2938,2799
0202,30 - 34,6684.0,3384,3300
0202,35 - 39,8090.0,4140,3950
0202,40 - 44,8111.0,4121,3990
0202,45 - 49,7092.0,3587,3505
0202,50 - 54,5871.0,2948,2923
0202,55 - 59,6359.0,3087,3272
0202,60 - 64,8030.0,3747,4283
0202,65 - 69,7842.0,3470,4372
0202,70 - 74,5812.0,2439,3373
0202,75 - 79,2726.0,995,1731
0202,80 - 84,2526.0,699,1827
0202,85 i więcej,2730.0,666,2064
0203,0 - 4,3742.0,1916,1826
0203,5 - 9,4338.0,2218,2120
0203,10 - 14,5138.0,2579,2559
0203,15 - 19,4344.0,2230,2114
0203,20 - 24,4518.0,2294,2224
0203,25 - 29,4961.0,2530,2431
0203,30 - 34,5922.0,3036,2886
0203,35 - 39,7257.0,3730,3527
0203,40 - 44,7758.0,3911,3847
0203,45 - 49,6627.0,3364,3263
0203,50 - 54,4835.0,2404,2431
0203,55 - 59,4854.0,2229,2625
0203,60 - 64,6375.0,2943,3432
0203,65 - 69,6958.0,3146,3812
0203,70 - 74,5592.0,2460,3132
0203,75 - 79,2180.0,940,1240
0203,80 - 84,1570.0,556,1014
0203,85 i więcej,1220.0,334,886
0204,0 - 4,1475.0,736,739
0204,5 - 9,1639.0,845,794
0204,10 - 14,1906.0,1003,903
0204,15 - 19,1842.0,957,885
0204,20 - 24,2095.0,1065,1030
0204,25 - 29,2479.0,1235,1244
0204,30 - 34,2411.0,1298,1113
0204,35 - 39,2633.0,1379,1254
0204,40 - 44,2540.0,1331,1209
0204,45 - 49,2384.0,1205,1179
0204,50 - 54,2070.0,1055,1015
0204,55 - 59,2136.0,1060,1076
0204,60 - 64,2536.0,1241,1295
0204,65 - 69,2320.0,1109,1211
0204,70 - 74,1772.0,822,950
0204,75 - 79,816.0,323,493
0204,80 - 84,623.0,193,430
0204,85 i więcej,685.0,140,545
0205,0 - 4,2081.0,1064,1017
0205,5 - 9,2165.0,1115,1050
0205,10 - 14,2596.0,1334,1262
0205,15 - 19,2255.0,1197,1058
0205,20 - 24,2561.0,1295,1266
0205,25 - 29,3042.0,1577,1465
0205,30 - 34,3461.0,1849,1612
0205,35 - 39,4103.0,2020,2083
0205,40 - 44,3990.0,2042,1948
0205,45 - 49,3433.0,1782,1651
0205,50 - 54,2898.0,1468,1430
0205,55 - 59,3178.0,1560,1618
0205,60 - 64,4004.0,1899,2105
0205,65 - 69,3817.0,1821,1996
0205,70 - 74,2764.0,1226,1538
0205,75 - 79,1121.0,418,703
0205,80 - 84,904.0,300,604
0205,85 i więcej,1084.0,245,839
0206,0 - 4,2231.0,1136,1095
0206,5 - 9,2622.0,1366,1256
0206,10 - 14,3170.0,1610,1560
0206,15 - 19,2988.0,1538,1450
0206,20 - 24,3094.0,1579,1515
0206,25 - 29,3642.0,1866,1776
0206,30 - 34,4126.0,2103,2023
0206,35 - 39,5159.0,2548,2611
0206,40 - 44,5388.0,2766,2622
0206,45 - 49,4885.0,2490,2395
0206,50 - 54,3861.0,1890,1971
0206,55 - 59,4011.0,1949,2062
0206,60 - 64,5156.0,2411,2745
0206,65 - 69,5301.0,2420,2881
0206,70 - 74,3679.0,1590,2089
0206,75 - 79,1373.0,575,798
0206,80 - 84,1127.0,346,781
0206,85 i więcej,1191.0,257,934
0207,0 - 4,1593.0,835,758
0207,5 - 9,1753.0,906,847
0207,10 - 14,2170.0,1143,1027
0207,15 - 19,2021.0,1071,950
0207,20 - 24,2320.0,1196,1124
0207,25 - 29,2703.0,1419,1284
0207,30 - 34,2835.0,1494,1341
0207,35 - 39,3419.0,1800,1619
0207,40 - 44,3411.0,1779,1632
0207,45 - 49,3026.0,1533,1493
0207,50 - 54,2497.0,1292,1205
0207,55 - 59,2831.0,1419,1412
0207,60 - 64,3326.0,1547,1779
0207,65 - 69,3228.0,1504,1724
0207,70 - 74,2425.0,1055,1370
0207,75 - 79,977.0,357,620
0207,80 - 84,1027.0,276,751
0207,85 i więcej,954.0,205,749
0208,0 - 4,5578.0,2912,2666
0208,5 - 9,6345.0,3353,2992
0208,10 - 14,7630.0,3939,3691
0208,15 - 19,6516.0,3312,3204
0208,20 - 24,7480.0,3856,3624
0208,25 - 29,9348.0,4825,4523
0208,30 - 34,10182.0,5181,5001
0208,35 - 39,12543.0,6453,6090
0208,40 - 44,12858.0,6636,6222
0208,45 - 49,11012.0,5606,5406
0208,50 - 54,9064.0,4494,4570
0208,55 - 59,9992.0,4886,5106
0208,60 - 64,12816.0,5976,6840
0208,65 - 69,12224.0,5510,6714
0208,70 - 74,9732.0,4077,5655
0208,75 - 79,4223.0,1607,2616
0208,80 - 84,3859.0,1161,2698
0208,85 i więcej,3673.0,919,2754
0209,0 - 4,2490.0,1294,1196
0209,5 - 9,2721.0,1419,1302
0209,10 - 14,3098.0,1562,1536
0209,15 - 19,2717.0,1415,1302
0209,20 - 24,2887.0,1495,1392
0209,25 - 29,3530.0,1876,1654
0209,30 - 34,3812.0,1960,1852
0209,35 - 39,4606.0,2250,2356
0209,40 - 44,4469.0,2278,2191
0209,45 - 49,4044.0,2090,1954
0209,50 - 54,3289.0,1677,1612
0209,55 - 59,3440.0,1661,1779
0209,60 - 64,4194.0,2016,2178
0209,65 - 69,3788.0,1777,2011
0209,70 - 74,2741.0,1228,1513
0209,75 - 79,1129.0,434,695
0209,80 - 84,1004.0,298,706
0209,85 i więcej,1067.0,259,808
0210,0 - 4,1997.0,984,1013
0210,5 - 9,2236.0,1152,1084
0210,10 - 14,2699.0,1384,1315
0210,15 - 19,2503.0,1323,1180
0210,20 - 24,2859.0,1502,1357
0210,25 - 29,3465.0,1782,1683
0210,30 - 34,3624.0,1844,1780
0210,35 - 39,4326.0,2259,2067
0210,40 - 44,4369.0,2220,2149
0210,45 - 49,4151.0,2184,1967
0210,50 - 54,3125.0,1582,1543
0210,55 - 59,3231.0,1594,1637
0210,60 - 64,4019.0,1887,2132
0210,65 - 69,4194.0,1859,2335
0210,70 - 74,3288.0,1374,1914
0210,75 - 79,1282.0,497,785
0210,80 - 84,1069.0,321,748
0210,85 i więcej,1051.0,242,809
0211,0 - 4,4905.0,2501,2404
0211,5 - 9,5145.0,2565,2580
0211,10 - 14,5616.0,2897,2719
0211,15 - 19,4841.0,2524,2317
0211,20 - 24,5004.0,2477,2527
0211,25 - 29,6107.0,3101,3006
0211,30 - 34,6950.0,3520,3430
0211,35 - 39,8306.0,4199,4107
0211,40 - 44,9058.0,4602,4456
0211,45 - 49,8157.0,4135,4022
0211,50 - 54,6061.0,2983,3078
0211,55 - 59,5943.0,2844,3099
0211,60 - 64,7539.0,3462,4077
0211,65 - 69,7997.0,3528,4469
0211,70 - 74,6843.0,2938,3905
0211,75 - 79,3068.0,1244,1824
0211,80 - 84,2304.0,855,1449
0211,85 i więcej,1793.0,544,1249
0212,0 - 4,1763.0,905,858
0212,5 - 9,2005.0,1018,987
0212,10 - 14,2227.0,1095,1132
0212,15 - 19,2250.0,1136,1114
0212,20 - 24,2445.0,1212,1233
0212,25 - 29,3057.0,1587,1470
0212,30 - 34,3240.0,1665,1575
0212,35 - 39,3728.0,1938,1790
0212,40 - 44,3571.0,1877,1694
0212,45 - 49,3098.0,1564,1534
0212,50 - 54,2640.0,1314,1326
0212,55 - 59,2880.0,1442,1438
0212,60 - 64,3683.0,1766,1917
0212,65 - 69,3513.0,1610,1903
0212,70 - 74,2510.0,1110,1400
0212,75 - 79,972.0,365,607
0212,80 - 84,843.0,255,588
0212,85 i więcej,934.0,191,743
0213,0 - 4,1791.0,943,848
0213,5 - 9,1917.0,953,964
0213,10 - 14,2226.0,1139,1087
0213,15 - 19,2073.0,1090,983
0213,20 - 24,2053.0,1067,986
0213,25 - 29,2216.0,1103,1113
0213,30 - 34,2558.0,1367,1191
0213,35 - 39,3047.0,1585,1462
0213,40 - 44,2918.0,1475,1443
0213,45 - 49,2548.0,1335,1213
0213,50 - 54,2033.0,1028,1005
0213,55 - 59,2085.0,1069,1016
0213,60 - 64,2522.0,1169,1353
0213,65 - 69,2552.0,1214,1338
0213,70 - 74,2000.0,888,1112
0213,75 - 79,885.0,366,519
0213,80 - 84,659.0,212,447
0213,85 i więcej,619.0,154,465
0214,0 - 4,5450.0,2814,2636
0214,5 - 9,5553.0,2811,2742
0214,10 - 14,6034.0,3101,2933
0214,15 - 19,5135.0,2657,2478
0214,20 - 24,5522.0,2771,2751
0214,25 - 29,6853.0,3448,3405
0214,30 - 34,7935.0,4061,3874
0214,35 - 39,9197.0,4681,4516
0214,40 - 44,8846.0,4546,4300
0214,45 - 49,7806.0,4014,3792
0214,50 - 54,6409.0,3207,3202
0214,55 - 59,6304.0,3108,3196
0214,60 - 64,7070.0,3398,3672
0214,65 - 69,6952.0,3150,3802
0214,70 - 74,5562.0,2372,3190
0214,75 - 79,2679.0,999,1680
0214,80 - 84,2006.0,671,1335
0214,85 i więcej,1869.0,498,1371
0215,0 - 4,3820.0,1948,1872
0215,5 - 9,3839.0,1920,1919
0215,10 - 14,4490.0,2332,2158
0215,15 - 19,3536.0,1790,1746
0215,20 - 24,3819.0,1904,1915
0215,25 - 29,4396.0,2237,2159
0215,30 - 34,5278.0,2698,2580
0215,35 - 39,6646.0,3325,3321
0215,40 - 44,6813.0,3489,3324
0215,45 - 49,5805.0,2985,2820
0215,50 - 54,4422.0,2205,2217
0215,55 - 59,4332.0,2141,2191
0215,60 - 64,5149.0,2387,2762
0215,65 - 69,5351.0,2362,2989
0215,70 - 74,4378.0,1887,2491
0215,75 - 79,1981.0,824,1157
0215,80 - 84,1368.0,470,898
0215,85 i więcej,1247.0,309,938
0216,0 - 4,3146.0,1619,1527
0216,5 - 9,3292.0,1719,1573
0216,10 - 14,3758.0,1925,1833
0216,15 - 19,3210.0,1668,1542
0216,20 - 24,3536.0,1799,1737
0216,25 - 29,4446.0,2247,2199
0216,30 - 34,4559.0,2350,2209
0216,35 - 39,5111.0,2620,2491
0216,40 - 44,4966.0,2498,2468
0216,45 - 49,4668.0,2389,2279
0216,50 - 54,4040.0,2063,1977
0216,55 - 59,3869.0,1937,1932
0216,60 - 64,4177.0,2071,2106
0216,65 - 69,3705.0,1718,1987
0216,70 - 74,3050.0,1312,1738
0216,75 - 79,1453.0,599,854
0216,80 - 84,1069.0,335,734
0216,85 i więcej,827.0,200,627
0217,0 - 4,1951.0,1031,920
0217,5 - 9,2077.0,1083,994
0217,10 - 14,2268.0,1194,1074
0217,15 - 19,1954.0,1032,922
0217,20 - 24,2309.0,1205,1104
0217,25 - 29,2732.0,1428,1304
0217,30 - 34,3023.0,1574,1449
0217,35 - 39,3559.0,1878,1681
0217,40 - 44,3442.0,1757,1685
0217,45 - 49,3145.0,1575,1570
0217,50 - 54,2616.0,1342,1274
0217,55 - 59,2678.0,1354,1324
0217,60 - 64,3236.0,1588,1648
0217,65 - 69,3030.0,1439,1591
0217,70 - 74,2292.0,989,1303
0217,75 - 79,1004.0,371,633
0217,80 - 84,840.0,250,590
0217,85 i więcej,892.0,217,675
0218,0 - 4,2923.0,1535,1388
0218,5 - 9,3005.0,1569,1436
0218,10 - 14,3321.0,1677,1644
0218,15 - 19,2646.0,1395,1251
0218,20 - 24,2842.0,1433,1409
0218,25 - 29,3583.0,1810,1773
0218,30 - 34,4174.0,2165,2009
0218,35 - 39,4892.0,2542,2350
0218,40 - 44,4909.0,2450,2459
0218,45 - 49,4342.0,2260,2082
0218,50 - 54,3384.0,1737,1647
0218,55 - 59,3265.0,1614,1651
0218,60 - 64,3832.0,1878,1954
0218,65 - 69,3385.0,1599,1786
0218,70 - 74,2485.0,1101,1384
0218,75 - 79,1089.0,428,661
0218,80 - 84,933.0,284,649
0218,85 i więcej,839.0,170,669
0219,0 - 4,6474.0,3289,3185
0219,5 - 9,7048.0,3670,3378
0219,10 - 14,7991.0,4083,3908
0219,15 - 19,6855.0,3552,3303
0219,20 - 24,7511.0,3834,3677
0219,25 - 29,9085.0,4597,4488
0219,30 - 34,10832.0,5612,5220
0219,35 - 39,13159.0,6689,6470
0219,40 - 44,12759.0,6541,6218
0219,45 - 49,11303.0,5722,5581
0219,50 - 54,9206.0,4632,4574
0219,55 - 59,9622.0,4733,4889
0219,60 - 64,11715.0,5453,6262
0219,65 - 69,11854.0,5253,6601
0219,70 - 74,9010.0,3759,5251
0219,75 - 79,3930.0,1464,2466
0219,80 - 84,3462.0,1081,2381
0219,85 i więcej,3439.0,837,2602
0220,0 - 4,4099.0,2137,1962
0220,5 - 9,4289.0,2216,2073
0220,10 - 14,5077.0,2568,2509
0220,15 - 19,4247.0,2143,2104
0220,20 - 24,4419.0,2258,2161
0220,25 - 29,5320.0,2719,2601
0220,30 - 34,6162.0,3159,3003
0220,35 - 39,7334.0,3719,3615
0220,40 - 44,7201.0,3611,3590
0220,45 - 49,6432.0,3257,3175
0220,50 - 54,5085.0,2579,2506
0220,55 - 59,4954.0,2426,2528
0220,60 - 64,6001.0,2925,3076
0220,65 - 69,5661.0,2643,3018
0220,70 - 74,4360.0,1935,2425
0220,75 - 79,1845.0,730,1115
0220,80 - 84,1358.0,455,903
0220,85 i więcej,1398.0,339,1059
0221,0 - 4,2051.0,1063,988
0221,5 - 9,2288.0,1165,1123
0221,10 - 14,2732.0,1373,1359
0221,15 - 19,2430.0,1211,1219
0221,20 - 24,2698.0,1336,1362
0221,25 - 29,3374.0,1739,1635
0221,30 - 34,3783.0,1981,1802
0221,35 - 39,4538.0,2343,2195
0221,40 - 44,4451.0,2218,2233
0221,45 - 49,3896.0,1966,1930
0221,50 - 54,3325.0,1681,1644
0221,55 - 59,3508.0,1708,1800
0221,60 - 64,4576.0,2178,2398
0221,65 - 69,4140.0,1895,2245
0221,70 - 74,2899.0,1288,1611
0221,75 - 79,1337.0,479,858
0221,80 - 84,1337.0,389,948
0221,85 i więcej,1389.0,312,1077
0222,0 - 4,2175.0,1141,1034
0222,5 - 9,2204.0,1116,1088
0222,10 - 14,2334.0,1171,1163
0222,15 - 19,2028.0,1031,997
0222,20 - 24,2276.0,1176,1100
0222,25 - 29,3019.0,1499,1520
0222,30 - 34,3423.0,1770,1653
0222,35 - 39,3780.0,1946,1834
0222,40 - 44,3744.0,1924,1820
0222,45 - 49,3396.0,1735,1661
0222,50 - 54,2879.0,1485,1394
0222,55 - 59,2880.0,1425,1455
0222,60 - 64,3478.0,1715,1763
0222,65 - 69,3251.0,1504,1747
0222,70 - 74,2438.0,1093,1345
0222,75 - 79,1127.0,410,717
0222,80 - 84,1033.0,343,690
0222,85 i więcej,990.0,213,777
0223,0 - 4,10868.0,5594,5274
0223,5 - 9,10407.0,5275,5132
0223,10 - 14,10698.0,5510,5188
0223,15 - 19,7629.0,3848,3781
0223,20 - 24,7284.0,3755,3529
0223,25 - 29,8927.0,4421,4506
0223,30 - 34,12503.0,5990,6513
0223,35 - 39,15982.0,7809,8173
0223,40 - 44,15078.0,7481,7597
0223,45 - 49,12639.0,6363,6276
0223,50 - 54,8913.0,4519,4394
0223,55 - 59,7741.0,3822,3919
0223,60 - 64,9003.0,4397,4606
0223,65 - 69,8315.0,3823,4492
0223,70 - 74,6000.0,2698,3302
0223,75 - 79,2687.0,1145,1542
0223,80 - 84,1904.0,640,1264
0223,85 i więcej,2177.0,573,1604
0224,0 - 4,2289.0,1208,1081
0224,5 - 9,2681.0,1387,1294
0224,10 - 14,3168.0,1636,1532
0224,15 - 19,2910.0,1500,1410
0224,20 - 24,3224.0,1648,1576
0224,25 - 29,4093.0,2088,2005
0224,30 - 34,4507.0,2341,2166
0224,35 - 39,5148.0,2658,2490
0224,40 - 44,4935.0,2473,2462
0224,45 - 49,4709.0,2415,2294
0224,50 - 54,3886.0,1962,1924
0224,55 - 59,4120.0,2021,2099
0224,60 - 64,5008.0,2446,2562
0224,65 - 69,4859.0,2210,2649
0224,70 - 74,3782.0,1660,2122
0224,75 - 79,1619.0,594,1025
0224,80 - 84,1337.0,433,904
0224,85 i więcej,1354.0,327,1027
0225,0 - 4,3237.0,1612,1625
0225,5 - 9,3811.0,1918,1893
0225,10 - 14,4446.0,2277,2169
0225,15 - 19,3872.0,2048,1824
0225,20 - 24,4481.0,2359,2122
0225,25 - 29,5545.0,2834,2711
0225,30 - 34,5938.0,3114,2824
0225,35 - 39,7179.0,3724,3455
0225,40 - 44,7247.0,3706,3541
0225,45 - 49,6530.0,3355,3175
0225,50 - 54,5358.0,2709,2649
0225,55 - 59,5757.0,2775,2982
0225,60 - 64,7016.0,3379,3637
0225,65 - 69,6528.0,2871,3657
0225,70 - 74,4899.0,2091,2808
0225,75 - 79,2208.0,843,1365
0225,80 - 84,2009.0,646,1363
0225,85 i więcej,1826.0,461,1365
0226,0 - 4,1704.0,902,802
0226,5 - 9,1872.0,963,909
0226,10 - 14,2356.0,1205,1151
0226,15 - 19,1869.0,973,896
0226,20 - 24,2213.0,1113,1100
0226,25 - 29,2710.0,1377,1333
0226,30 - 34,3077.0,1603,1474
0226,35 - 39,3689.0,1896,1793
0226,40 - 44,3509.0,1797,1712
0226,45 - 49,3076.0,1609,1467
0226,50 - 54,2430.0,1235,1195
0226,55 - 59,2758.0,1329,1429
0226,60 - 64,3392.0,1591,1801
0226,65 - 69,3313.0,1609,1704
0226,70 - 74,2342.0,1027,1315
0226,75 - 79,894.0,350,544
0226,80 - 84,750.0,232,518
0226,85 i więcej,812.0,176,636
0461,0 - 4,15188.0,7854,7334
0461,5 - 9,14805.0,7581,7224
0461,10 - 14,16310.0,8403,7907
0461,15 - 19,14052.0,7179,6873
0461,20 - 24,14668.0,7498,7170
0461,25 - 29,18715.0,9301,9414
0461,30 - 34,24641.0,12102,12539
0461,35 - 39,29757.0,14877,14880
0461,40 - 44,27695.0,13797,13898
0461,45 - 49,24252.0,11855,12397
0461,50 - 54,19932.0,9510,10422
0461,55 - 59,19773.0,9365,10408
0461,60 - 64,24293.0,10974,13319
0461,65 - 69,25703.0,11036,14667
0461,70 - 74,21834.0,8802,13032
0461,75 - 79,11592.0,4451,7141
0461,80 - 84,9197.0,3140,6057
0461,85 i więcej,9285.0,2809,6476
0462,0 - 4,4103.0,2140,1963
0462,5 - 9,4385.0,2237,2148
0462,10 - 14,5003.0,2602,2401
0462,15 - 19,4518.0,2341,2177
0462,20 - 24,4491.0,2257,2234
0462,25 - 29,5083.0,2540,2543
0462,30 - 34,6380.0,3243,3137
0462,35 - 39,7504.0,3848,3656
0462,40 - 44,7193.0,3657,3536
0462,45 - 49,6342.0,3214,3128
0462,50 - 54,5413.0,2607,2806
0462,55 - 59,6009.0,2788,3221
0462,60 - 64,7268.0,3279,3989
0462,65 - 69,6907.0,3018,3889
0462,70 - 74,5258.0,2139,3119
0462,75 - 79,2713.0,982,1731
0462,80 - 84,2265.0,680,1585
0462,85 i więcej,2059.0,566,1493
0463,0 - 4,9688.0,5005,4683
0463,5 - 9,9256.0,4689,4567
0463,10 - 14,9582.0,4804,4778
0463,15 - 19,9008.0,4479,4529
0463,20 - 24,8639.0,4355,4284
0463,25 - 29,10247.0,5193,5054
0463,30 - 34,14850.0,7274,7576
0463,35 - 39,18397.0,9049,9348
0463,40 - 44,16461.0,8109,8352
0463,45 - 49,14080.0,6826,7254
0463,50 - 54,11141.0,5215,5926
0463,55 - 59,11201.0,5088,6113
0463,60 - 64,13947.0,6036,7911
0463,65 - 69,14253.0,5922,8331
0463,70 - 74,12080.0,4845,7235
0463,75 - 79,5960.0,2284,3676
0463,80 - 84,4587.0,1550,3037
0463,85 i więcej,4435.0,1261,3174
0464,0 - 4,4277.0,2234,2043
0464,5 - 9,4608.0,2357,2251
0464,10 - 14,5125.0,2625,2500
0464,15 - 19,4986.0,2533,2453
0464,20 - 24,5205.0,2675,2530
0464,25 - 29,6152.0,3157,2995
0464,30 - 34,6736.0,3427,3309
0464,35 - 39,8198.0,4209,3989
0464,40 - 44,8634.0,4301,4333
0464,45 - 49,8187.0,4056,4131
0464,50 - 54,6918.0,3315,3603
0464,55 - 59,6594.0,2970,3624
0464,60 - 64,8232.0,3617,4615
0464,65 - 69,8433.0,3474,4959
0464,70 - 74,7127.0,2827,4300
0464,75 - 79,3541.0,1346,2195
0464,80 - 84,2553.0,836,1717
0464,85 i więcej,2239.0,568,1671
0401,0 - 4,2364.0,1252,1112
0401,5 - 9,2509.0,1297,1212
0401,10 - 14,2953.0,1490,1463
0401,15 - 19,2580.0,1355,1225
0401,20 - 24,3035.0,1608,1427
0401,25 - 29,3518.0,1777,1741
0401,30 - 34,3919.0,1985,1934
0401,35 - 39,4415.0,2285,2130
0401,40 - 44,4111.0,2057,2054
0401,45 - 49,3961.0,2049,1912
0401,50 - 54,3337.0,1642,1695
0401,55 - 59,3388.0,1620,1768
0401,60 - 64,4113.0,1948,2165
0401,65 - 69,3702.0,1700,2002
0401,70 - 74,2967.0,1217,1750
0401,75 - 79,1575.0,601,974
0401,80 - 84,1174.0,375,799
0401,85 i więcej,1080.0,281,799
0402,0 - 4,4407.0,2257,2150
0402,5 - 9,4375.0,2230,2145
0402,10 - 14,4879.0,2534,2345
0402,15 - 19,4168.0,2138,2030
0402,20 - 24,4517.0,2358,2159
0402,25 - 29,5607.0,2846,2761
0402,30 - 34,6026.0,3115,2911
0402,35 - 39,6577.0,3412,3165
0402,40 - 44,6015.0,3116,2899
0402,45 - 49,5433.0,2713,2720
0402,50 - 54,4624.0,2329,2295
0402,55 - 59,4790.0,2377,2413
0402,60 - 64,5193.0,2566,2627
0402,65 - 69,4516.0,2107,2409
0402,70 - 74,3452.0,1500,1952
0402,75 - 79,1647.0,631,1016
0402,80 - 84,1357.0,472,885
0402,85 i więcej,1332.0,346,986
0403,0 - 4,5997.0,3129,2868
0403,5 - 9,6658.0,3510,3148
0403,10 - 14,7882.0,4031,3851
0403,15 - 19,6740.0,3522,3218
0403,20 - 24,6816.0,3466,3350
0403,25 - 29,7747.0,3957,3790
0403,30 - 34,8547.0,4243,4304
0403,35 - 39,10311.0,5124,5187
0403,40 - 44,10484.0,5181,5303
0403,45 - 49,9814.0,5004,4810
0403,50 - 54,8013.0,4074,3939
0403,55 - 59,7160.0,3581,3579
0403,60 - 64,7629.0,3762,3867
0403,65 - 69,6536.0,3065,3471
0403,70 - 74,5064.0,2254,2810
0403,75 - 79,2481.0,1029,1452
0403,80 - 84,1637.0,590,1047
0403,85 i więcej,1582.0,439,1143
0404,0 - 4,2364.0,1210,1154
0404,5 - 9,2602.0,1349,1253
0404,10 - 14,3044.0,1589,1455
0404,15 - 19,2685.0,1382,1303
0404,20 - 24,2943.0,1484,1459
0404,25 - 29,3497.0,1797,1700
0404,30 - 34,3758.0,1958,1800
0404,35 - 39,4355.0,2209,2146
0404,40 - 44,3971.0,2012,1959
0404,45 - 49,3681.0,1869,1812
0404,50 - 54,3187.0,1597,1590
0404,55 - 59,3175.0,1537,1638
0404,60 - 64,3605.0,1729,1876
0404,65 - 69,3180.0,1475,1705
0404,70 - 74,2377.0,1006,1371
0404,75 - 79,1218.0,488,730
0404,80 - 84,884.0,278,606
0404,85 i więcej,901.0,261,640
0405,0 - 4,2267.0,1145,1122
0405,5 - 9,2323.0,1165,1158
0405,10 - 14,2565.0,1343,1222
0405,15 - 19,2271.0,1196,1075
0405,20 - 24,2764.0,1416,1348
0405,25 - 29,3298.0,1670,1628
0405,30 - 34,3370.0,1696,1674
0405,35 - 39,3572.0,1908,1664
0405,40 - 44,3296.0,1707,1589
0405,45 - 49,2974.0,1483,1491
0405,50 - 54,2815.0,1410,1405
0405,55 - 59,2811.0,1467,1344
0405,60 - 64,2975.0,1465,1510
0405,65 - 69,2651.0,1242,1409
0405,70 - 74,1989.0,880,1109
0405,75 - 79,1028.0,386,642
0405,80 - 84,865.0,301,564
0405,85 i więcej,780.0,191,589
0406,0 - 4,1888.0,975,913
0406,5 - 9,2180.0,1083,1097
0406,10 - 14,2663.0,1330,1333
0406,15 - 19,2254.0,1196,1058
0406,20 - 24,2474.0,1327,1147
0406,25 - 29,2881.0,1474,1407
